components,variance
1,0.32579762
2,0.5186971
3,0.5723936
4,0.6087795
5,0.6346633
6,0.6537591
7,0.6712971
8,0.6846087
9,0.6970983
10,0.7078531
11,0.7164103
12,0.7238568
13,0.73104495
14,0.73774797
15,0.7441356
16,0.7495531
17,0.75458723
18,0.7592145
19,0.7635682
20,0.7677143
21,0.771532
22,0.7752584
23,0.77870476
24,0.7820791
25,0.78524137
26,0.78827286
27,0.7911345
28,0.7937859
29,0.79640836
30,0.7990076
31,0.80152065
32,0.8038537
33,0.8061305
34,0.8083606
35,0.810501
36,0.8126228
37,0.8146138
38,0.81652856
39,0.81842434
40,0.8202971
41,0.8221212
42,0.8239174
43,0.82562757
44,0.8272962
45,0.8289388
46,0.8305495
47,0.8320968
48,0.83360565
49,0.8350773
50,0.8365229
51,0.83794266
52,0.83932644
53,0.8406838
54,0.84199774
55,0.84329027
56,0.8445476
57,0.84578085
58,0.84699756
59,0.848199
60,0.84934497
61,0.8504532
62,0.85154784
63,0.8526245
64,0.85366297
65,0.8546817
66,0.855673
67,0.85665506
68,0.8576273
69,0.8585832
70,0.8595108
71,0.86042583
72,0.86132336
73,0.8622004
74,0.86306065
75,0.8639131
76,0.8647476
77,0.8655815
78,0.8664089
79,0.8672222
80,0.8680308
81,0.86881614
82,0.8695929
83,0.8703629
84,0.871126
85,0.87187326
86,0.8726094
87,0.87332726
88,0.8740314
89,0.8747317
90,0.875423
91,0.87610894
92,0.8767839
93,0.8774489
94,0.8781041
95,0.87874645
96,0.87938166
97,0.88001287
98,0.8806435
99,0.8812683
100,0.8818779
101,0.8824834
102,0.8830709
103,0.88365227
104,0.8842296
105,0.8848034
106,0.8853746
107,0.885939
108,0.8864948
109,0.8870464
110,0.88759124
111,0.88812643
112,0.88865924
113,0.8891852
114,0.8897047
115,0.8902175
116,0.8907282
117,0.8912311
118,0.8917304
119,0.8922233
120,0.8927119
121,0.89319825
122,0.8936787
123,0.8941524
124,0.8946247
125,0.8950942
126,0.895555
127,0.8960093
128,0.89646065
129,0.89690876
130,0.8973499
131,0.8977867
132,0.8982177
133,0.8986428
134,0.899066
135,0.89948356
136,0.8998991
137,0.9003102
138,0.9007188
139,0.9011243
140,0.90152687
141,0.9019244
142,0.9023182
143,0.902709
144,0.9030974
145,0.90348434
146,0.9038681
147,0.9042466
148,0.9046246
149,0.90499973
150,0.90537083
151,0.9057411
152,0.90610737
153,0.90647143
154,0.90683156
155,0.9071889
156,0.9075433
157,0.90789515
158,0.90824383
159,0.9085882
160,0.9089306
161,0.90927166
162,0.90960926
163,0.9099436
164,0.91027397
165,0.91060376
166,0.91092813
167,0.9112506
168,0.9115687
169,0.9118862
170,0.91220343
171,0.91251886
172,0.9128315
173,0.9131422
174,0.9134488
175,0.9137532
176,0.91405594
177,0.91435486
178,0.91465074
179,0.91494393
180,0.9152352
181,0.9155235
182,0.91581166
183,0.9160985
184,0.91638005
185,0.9166613
186,0.9169405
187,0.9172178
188,0.91749215
189,0.91776603
190,0.9180347
191,0.9183015
192,0.9185679
193,0.91883177
194,0.9190943
195,0.9193548
196,0.9196138
197,0.9198704
198,0.92012537
199,0.92037725
200,0.92062616
