parent,left_child,right_child,distance,size
52379,33029.0,28857.0,0.0,2.0
52380,48350.0,48335.0,0.0,2.0
52381,48351.0,48363.0,0.0,2.0
52382,48353.0,48340.0,0.0,2.0
52383,48355.0,52381.0,0.0,3.0
52384,48356.0,52383.0,0.0,4.0
52385,48357.0,48369.0,0.0,2.0
52386,48359.0,52382.0,0.0,3.0
52387,48360.0,52385.0,0.0,3.0
52388,48362.0,52384.0,0.0,5.0
52389,48364.0,48222.0,0.0,2.0
52390,48367.0,52380.0,0.0,3.0
52391,48368.0,52386.0,0.0,4.0
52392,48371.0,48337.0,0.0,2.0
52393,48372.0,52392.0,0.0,3.0
52394,48373.0,52391.0,0.0,5.0
52395,48374.0,52387.0,0.0,4.0
52396,22870.0,22871.0,0.0,2.0
52397,48375.0,52388.0,0.0,6.0
52398,48376.0,52389.0,0.0,3.0
52399,48348.0,52397.0,0.0,7.0
52400,48346.0,52390.0,0.0,4.0
52401,48345.0,52395.0,0.0,5.0
52402,48344.0,52394.0,0.0,6.0
52403,22943.0,22941.0,0.0,2.0
52404,22942.0,52403.0,0.0,3.0
52405,22940.0,52404.0,0.0,4.0
52406,48331.0,9839.0,0.0,2.0
52407,22936.0,1128.0,0.0,2.0
52408,22935.0,36745.0,0.0,2.0
52409,22934.0,33541.0,0.0,2.0
52410,22932.0,52409.0,0.0,3.0
52411,22930.0,22917.0,0.0,2.0
52412,22865.0,22857.0,0.0,2.0
52413,22927.0,1372.0,0.0,2.0
52414,22924.0,22922.0,0.0,2.0
52415,22923.0,52414.0,0.0,3.0
52416,48332.0,33795.0,0.0,2.0
52417,48334.0,48343.0,0.0,2.0
52418,22913.0,33948.0,0.0,2.0
52419,48336.0,52400.0,0.0,5.0
52420,48339.0,52419.0,0.0,6.0
52421,48341.0,48317.0,0.0,2.0
52422,48342.0,52420.0,0.0,7.0
52423,22926.0,52411.0,0.0,3.0
52424,22944.0,52405.0,0.0,5.0
52425,22863.0,52412.0,0.0,3.0
52426,22861.0,22855.0,0.0,2.0
52427,48405.0,52406.0,0.0,3.0
52428,48406.0,48309.0,0.0,2.0
52429,48407.0,14427.0,0.0,2.0
52430,48408.0,52429.0,0.0,3.0
52431,48409.0,52430.0,0.0,4.0
52432,48410.0,14428.0,0.0,2.0
52433,48412.0,48411.0,0.0,2.0
52434,48413.0,14421.0,0.0,2.0
52435,48414.0,52434.0,0.0,3.0
52436,48417.0,48416.0,0.0,2.0
52437,48418.0,52436.0,0.0,3.0
52438,48419.0,52437.0,0.0,4.0
52439,22773.0,22570.0,0.0,2.0
52440,48431.0,14562.0,0.0,2.0
52441,22760.0,22767.0,0.0,2.0
52442,48448.0,48447.0,0.0,2.0
52443,48453.0,9180.0,0.0,2.0
52444,48455.0,52427.0,0.0,4.0
52445,48461.0,52398.0,0.0,4.0
52446,22798.0,22795.0,0.0,2.0
52447,48397.0,48383.0,0.0,2.0
52448,48396.0,52401.0,0.0,6.0
52449,48394.0,52447.0,0.0,3.0
52450,22860.0,52425.0,0.0,4.0
52451,22859.0,52450.0,0.0,5.0
52452,22856.0,52451.0,0.0,6.0
52453,22854.0,22858.0,0.0,2.0
52454,22853.0,52452.0,0.0,7.0
52455,22851.0,22849.0,0.0,2.0
52456,22850.0,52455.0,0.0,3.0
52457,22848.0,22847.0,0.0,2.0
52458,48377.0,52399.0,0.0,8.0
52459,22862.0,52454.0,0.0,8.0
52460,22845.0,22843.0,0.0,2.0
52461,22840.0,2490.0,0.0,2.0
52462,48378.0,48333.0,0.0,2.0
52463,48379.0,52445.0,0.0,5.0
52464,48380.0,52463.0,0.0,6.0
52465,48381.0,52458.0,0.0,9.0
52466,48382.0,52448.0,0.0,7.0
52467,48385.0,52466.0,0.0,8.0
52468,48391.0,48388.0,0.0,2.0
52469,48392.0,52449.0,0.0,4.0
52470,22844.0,52460.0,0.0,3.0
52471,48462.0,52464.0,0.0,7.0
52472,22946.0,52424.0,0.0,6.0
52473,22948.0,52472.0,0.0,7.0
52474,48316.0,52422.0,0.0,8.0
52475,23062.0,23064.0,0.0,2.0
52476,23055.0,12320.0,0.0,2.0
52477,23054.0,52476.0,0.0,3.0
52478,48321.0,52402.0,0.0,7.0
52479,23051.0,23050.0,0.0,2.0
52480,23043.0,33577.0,0.0,2.0
52481,23041.0,23042.0,0.0,2.0
52482,23039.0,52477.0,0.0,4.0
52483,23038.0,52482.0,0.0,5.0
52484,23036.0,23037.0,0.0,2.0
52485,48325.0,52417.0,0.0,3.0
52486,48327.0,52467.0,0.0,9.0
52487,23026.0,23027.0,0.0,2.0
52488,23025.0,52487.0,0.0,3.0
52489,23024.0,52488.0,0.0,4.0
52490,23023.0,52489.0,0.0,5.0
52491,23022.0,52490.0,0.0,6.0
52492,23020.0,52491.0,0.0,7.0
52493,23070.0,1143.0,0.0,2.0
52494,23074.0,23073.0,0.0,2.0
52495,48313.0,52428.0,0.0,3.0
52496,48312.0,52486.0,0.0,10.0
52497,48266.0,48262.0,0.0,2.0
52498,23133.0,33973.0,0.0,2.0
52499,23132.0,33980.0,0.0,2.0
52500,23131.0,23127.0,0.0,2.0
52501,23129.0,52499.0,0.0,3.0
52502,48271.0,48265.0,0.0,2.0
52503,23114.0,33582.0,0.0,2.0
52504,23112.0,23110.0,0.0,2.0
52505,23111.0,52504.0,0.0,3.0
52506,23019.0,33522.0,0.0,2.0
52507,48287.0,48283.0,0.0,2.0
52508,48296.0,48298.0,0.0,2.0
52509,48297.0,52508.0,0.0,3.0
52510,48301.0,48300.0,0.0,2.0
52511,48303.0,48304.0,0.0,2.0
52512,48310.0,48319.0,0.0,2.0
52513,23088.0,52503.0,0.0,3.0
52514,23084.0,22914.0,0.0,2.0
52515,23083.0,52418.0,0.0,3.0
52516,23082.0,52514.0,0.0,3.0
52517,23103.0,23095.0,0.0,2.0
52518,22947.0,33750.0,0.0,2.0
52519,23017.0,52506.0,0.0,3.0
52520,23014.0,23015.0,0.0,2.0
52521,22978.0,33560.0,0.0,2.0
52522,22977.0,52521.0,0.0,3.0
52523,22975.0,33539.0,0.0,2.0
52524,22973.0,52523.0,0.0,3.0
52525,22972.0,22970.0,0.0,2.0
52526,22971.0,52525.0,0.0,3.0
52527,22966.0,22961.0,0.0,2.0
52528,22965.0,52527.0,0.0,3.0
52529,22963.0,52473.0,0.0,8.0
52530,48330.0,52496.0,0.0,11.0
52531,22960.0,52528.0,0.0,4.0
52532,22957.0,52531.0,0.0,5.0
52533,22956.0,52532.0,0.0,6.0
52534,22955.0,52533.0,0.0,7.0
52535,22954.0,52534.0,0.0,8.0
52536,22953.0,33512.0,0.0,2.0
52537,22951.0,22952.0,0.0,2.0
52538,22950.0,52529.0,0.0,9.0
52539,22949.0,52538.0,0.0,10.0
52540,22981.0,33494.0,0.0,2.0
52541,22983.0,52540.0,0.0,3.0
52542,22984.0,33544.0,0.0,2.0
52543,22986.0,22985.0,0.0,2.0
