components,variance
1,0.35970578
2,0.47062492
3,0.51193714
4,0.5454799
5,0.5758259
6,0.6026801
7,0.62896854
8,0.6507037
9,0.66650164
10,0.6770298
11,0.6862967
12,0.69515175
13,0.7021417
14,0.70848465
15,0.7145662
16,0.7202094
17,0.72561824
18,0.73082185
19,0.73589855
20,0.7406129
21,0.7451917
22,0.74921006
23,0.7529697
24,0.75666094
25,0.7601391
26,0.7634638
27,0.76663274
28,0.7696364
29,0.7724475
30,0.77508193
31,0.77760094
32,0.7800876
33,0.78246385
34,0.78475535
35,0.78695416
36,0.78906167
37,0.7911568
38,0.7932243
39,0.7952241
40,0.79714835
41,0.7990262
42,0.8008442
43,0.80263305
44,0.80441034
45,0.80617017
46,0.8078732
47,0.8095591
48,0.811219
49,0.8128355
50,0.81441474
51,0.8159756
52,0.8174956
53,0.818977
54,0.8204383
55,0.8218626
56,0.8232542
57,0.82463026
58,0.82594097
59,0.82723707
60,0.8284973
61,0.8297514
62,0.8309423
63,0.8321273
64,0.83327824
65,0.8343913
66,0.8354947
67,0.83657676
68,0.83763134
69,0.8386768
70,0.8396995
71,0.8406995
72,0.8416797
73,0.84265304
74,0.8436004
75,0.84453994
76,0.8454729
77,0.84638083
78,0.84728104
79,0.84817225
80,0.84904456
81,0.8499084
82,0.85075885
83,0.8515855
84,0.85240066
85,0.85320646
86,0.8540035
87,0.8547868
88,0.8555555
89,0.85630864
90,0.8570532
91,0.8577908
92,0.858521
93,0.85923445
94,0.85993457
95,0.8606241
96,0.8613095
97,0.8619855
98,0.8626591
99,0.86331725
100,0.86396545
101,0.864606
102,0.86524004
103,0.8658707
104,0.86649144
105,0.8671081
106,0.8677148
107,0.868314
108,0.8689102
109,0.86950177
110,0.87008905
111,0.8706725
112,0.8712469
113,0.87181604
114,0.87237775
115,0.8729316
116,0.8734753
117,0.8740157
118,0.8745429
119,0.8750679
120,0.87559086
121,0.87610835
122,0.8766207
123,0.87711906
124,0.8776149
125,0.87810445
126,0.87858754
127,0.87906116
128,0.8795306
129,0.87999755
130,0.8804615
131,0.8809234
132,0.8813807
133,0.8818362
134,0.8822886
135,0.88273174
136,0.8831722
137,0.88361204
138,0.88404566
139,0.8844766
140,0.8849012
141,0.8853236
142,0.8857409
143,0.8861553
144,0.886568
145,0.88697606
146,0.887376
147,0.8877749
148,0.88817143
149,0.88856393
150,0.8889538
151,0.8893411
152,0.8897231
153,0.89010227
154,0.8904777
155,0.89085084
156,0.8912205
157,0.89158696
158,0.89195055
159,0.89231145
160,0.89267004
161,0.8930259
162,0.8933798
163,0.89373285
164,0.894081
165,0.8944278
166,0.89477277
167,0.895115
168,0.89545375
169,0.89579123
170,0.89612544
171,0.8964591
172,0.8967885
173,0.8971143
174,0.897439
175,0.89776254
176,0.89808524
177,0.89840525
178,0.89872044
179,0.89903283
180,0.89934295
181,0.899652
182,0.899959
183,0.90026206
184,0.9005643
185,0.90086377
186,0.9011607
187,0.9014564
188,0.90174896
189,0.9020397
190,0.9023294
191,0.9026148
192,0.9028985
193,0.9031796
194,0.9034563
195,0.9037317
196,0.90400577
197,0.9042775
198,0.9045454
199,0.9048118
200,0.9050765
