,components,variance
0,1,0.29232907
1,2,0.40456164
2,3,0.43674183
3,4,0.46753365
4,5,0.4910357
5,6,0.5122297
6,7,0.53238237
7,8,0.55102015
8,9,0.5680449
9,10,0.5843665
10,11,0.5994631
11,12,0.613064
12,13,0.6250655
13,14,0.6364159
14,15,0.6457263
15,16,0.6546921
16,17,0.6631534
17,18,0.67120546
18,19,0.67840636
19,20,0.6850753
20,21,0.69136435
21,22,0.6974875
22,23,0.7034174
23,24,0.7092669
24,25,0.7149825
25,26,0.7200633
26,27,0.7250973
27,28,0.72981375
28,29,0.73446625
29,30,0.7383831
30,31,0.7422142
31,32,0.7458543
32,33,0.74937236
33,34,0.75274926
34,35,0.75593114
35,36,0.75898427
36,37,0.7619825
37,38,0.76486486
38,39,0.7676061
39,40,0.7701348
40,41,0.7726563
41,42,0.77500397
42,43,0.7773041
43,44,0.7795391
44,45,0.7816981
45,46,0.7837852
46,47,0.78585124
47,48,0.78786284
48,49,0.78985167
49,50,0.7917069
50,51,0.7935318
51,52,0.79528475
52,53,0.7970079
53,54,0.79871446
54,55,0.80035317
55,56,0.8019361
56,57,0.80348897
57,58,0.80497086
58,59,0.80642194
59,60,0.8078705
60,61,0.809275
61,62,0.81057364
62,63,0.8118508
63,64,0.81310153
64,65,0.8143208
65,66,0.81553316
66,67,0.816739
67,68,0.8179059
68,69,0.8190613
69,70,0.8202021
70,71,0.82133347
71,72,0.82244825
72,73,0.823517
73,74,0.8245764
74,75,0.8255931
75,76,0.82659507
76,77,0.8275692
77,78,0.8285369
78,79,0.82948315
79,80,0.83039314
80,81,0.8312963
81,82,0.8321821
82,83,0.8330616
83,84,0.83392566
84,85,0.8347812
85,86,0.8356342
86,87,0.83645695
87,88,0.8372627
88,89,0.838054
89,90,0.8388349
90,91,0.83961153
91,92,0.84038085
92,93,0.84114414
93,94,0.8419054
94,95,0.84265083
95,96,0.8433777
96,97,0.8441029
97,98,0.84481686
98,99,0.84551865
99,100,0.84621686
100,101,0.84690595
101,102,0.8475879
102,103,0.84826064
103,104,0.84892523
104,105,0.84958124
105,106,0.85023165
106,107,0.85088044
107,108,0.8515199
108,109,0.8521483
109,110,0.8527662
110,111,0.85337865
111,112,0.8539809
112,113,0.8545803
113,114,0.8551705
114,115,0.85575366
115,116,0.8563345
116,117,0.85690457
117,118,0.85746986
118,119,0.85802156
119,120,0.8585716
120,121,0.8591132
121,122,0.85964745
122,123,0.86017823
123,124,0.8607069
124,125,0.8612331
125,126,0.8617487
126,127,0.8622595
127,128,0.86275566
128,129,0.8632498
129,130,0.86374044
130,131,0.8642276
131,132,0.86471164
132,133,0.86518794
133,134,0.8656567
134,135,0.86612135
135,136,0.8665841
136,137,0.8670421
137,138,0.8674992
138,139,0.8679509
139,140,0.8684016
140,141,0.8688478
141,142,0.86928517
142,143,0.8697195
143,144,0.8701507
144,145,0.8705789
145,146,0.87100255
146,147,0.8714222
147,148,0.8718386
148,149,0.8722536
149,150,0.8726646
150,151,0.87307096
151,152,0.873474
152,153,0.87386996
153,154,0.87426114
154,155,0.8746507
155,156,0.87503725
156,157,0.87542135
157,158,0.8758002
158,159,0.8761772
159,160,0.8765493
160,161,0.8769166
161,162,0.8772818
162,163,0.87764543
163,164,0.8780047
164,165,0.8783622
165,166,0.87871605
166,167,0.8790692
167,168,0.8794209
168,169,0.8797657
169,170,0.88010883
170,171,0.8804485
171,172,0.88078743
172,173,0.8811231
173,174,0.881456
174,175,0.8817846
175,176,0.8821112
176,177,0.88243556
177,178,0.8827564
178,179,0.88307595
179,180,0.88339233
180,181,0.8837053
181,182,0.88401634
182,183,0.88432497
183,184,0.8846304
184,185,0.8849347
185,186,0.8852361
186,187,0.88553643
187,188,0.885834
188,189,0.8861302
189,190,0.88642377
190,191,0.8867128
191,192,0.88699883
192,193,0.88727975
193,194,0.8875575
194,195,0.8878345
195,196,0.88811016
196,197,0.88838196
197,198,0.88865215
198,199,0.88892037
199,200,0.8891864
