left_child,right_child,distance,size
31626.0,31620.0,0.0,2.0
19297.0,46412.0,0.0,2.0
19296.0,296.0,0.0,2.0
45730.0,49206.0,0.0,2.0
19289.0,27238.0,0.0,2.0
19288.0,52383.0,0.0,3.0
19285.0,52381.0,0.0,3.0
19298.0,52380.0,0.0,3.0
19283.0,2028.0,0.0,2.0
19279.0,19272.0,0.0,2.0
19278.0,52388.0,0.0,3.0
19277.0,52385.0,0.0,4.0
19273.0,52389.0,0.0,4.0
45749.0,45660.0,0.0,2.0
45751.0,4836.0,0.0,2.0
19282.0,52387.0,0.0,3.0
45753.0,52392.0,0.0,3.0
45728.0,45729.0,0.0,2.0
19305.0,6068.0,0.0,2.0
19323.0,52384.0,0.0,4.0
19322.0,52398.0,0.0,5.0
19321.0,1799.0,0.0,2.0
19320.0,52400.0,0.0,3.0
19319.0,52401.0,0.0,4.0
19318.0,52402.0,0.0,5.0
19304.0,46415.0,0.0,2.0
45723.0,15031.0,0.0,2.0
19315.0,44417.0,0.0,2.0
19314.0,52406.0,0.0,3.0
19310.0,26139.0,0.0,2.0
19309.0,52408.0,0.0,3.0
19308.0,110.0,0.0,2.0
19306.0,29519.0,0.0,2.0
45726.0,52396.0,0.0,3.0
45757.0,32288.0,0.0,2.0
45759.0,17428.0,0.0,2.0
45761.0,52413.0,0.0,3.0
45814.0,29614.0,0.0,2.0
19178.0,39839.0,0.0,2.0
19177.0,52417.0,0.0,3.0
19176.0,19172.0,0.0,2.0
19175.0,52419.0,0.0,3.0
19171.0,52420.0,0.0,4.0
45808.0,52416.0,0.0,3.0
19170.0,26039.0,0.0,2.0
19168.0,52418.0,0.0,4.0
19161.0,52403.0,0.0,6.0
45825.0,49406.0,0.0,2.0
19158.0,15907.0,0.0,2.0
45826.0,6073.0,0.0,2.0
19156.0,52285.0,0.0,2.0
19169.0,5278.0,0.0,2.0
45805.0,52422.0,0.0,4.0
45803.0,45566.0,0.0,2.0
45801.0,32327.0,0.0,2.0
