,cluster
J02176,37
CY021709,37
CY020285,37
CY083910,58
CY063606,58
CY062691,58
CY062699,58
CY066935,58
CY066943,58
CY066951,58
CY066959,58
CY066967,58
CY066975,58
CY067031,58
CY067039,58
CY067047,58
CY067055,58
CY176570,58
CY176578,58
CY176586,58
CY129910,58
CY129918,58
CY129926,58
CY129934,58
CY129942,58
CY056947,58
MH114050,41
KT889256,38
AB753217,41
J02090,38
CY121117,38
M55059,38
AB295605,38
AB284320,38
EF614248,38
V01085,38
GU014774,58
GQ365410,58
CY113957,38
KC781903,58
KC780620,58
KT841229,38
CY216617,38
MT244087,58
GQ894929,58
KT836052,38
CY216609,38
MH083309,58
MT244098,58
KX412670,38
MH081892,38
MK630770,58
MT244105,58
KT835907,38
KX412678,38
CY216633,38
MK772106,38
MK744672,38
MT244111,58
KT838345,38
KX412686,38
CY220911,58
MH125602,58
MK772114,38
MK744680,38
KY044102,38
KX412838,38
CY220551,38
MH126369,38
MK630778,58
MT303224,58
KT837659,38
KT841992,38
KX409707,58
CY220559,38
MH125610,58
MK676811,38
MN000552,38
MT330562,58
KT839381,38
KT842463,38
KX409715,58
CY223045,38
MH125618,58
MN000560,38
MK676819,38
MT330567,58
KT838698,38
KT839293,38
KX415704,38
CY223053,38
MH126307,38
MH246242,38
MK772909,58
MT466096,58
KT839990,38
KX003906,38
KX411299,58
CY230714,38
MH125626,58
MN000568,38
MK772119,38
MT466104,58
KT839906,38
KX411307,58
CY230722,38
MH125634,58
MN000576,38
MK772127,38
KX411859,58
CY230706,38
MH125642,58
MK772917,58
KU589370,58
KY289350,38
CY209032,38
CY239744,38
CY230698,38
MH126377,38
MH897984,38
MN246141,38
MK856511,38
KY289394,38
CY213826,38
MH897992,38
MH126385,38
MN246149,38
MK856521,38
CY230690,38
MH125650,58
MN221565,38
MK856529,38
CY210687,38
CY239736,38
CY230682,38
MH443420,58
MH125658,58
MK856537,38
MN221573,38
CY212786,38
CY230674,38
MH183453,58
MK855605,58
CY212794,38
CY228046,38
MH585852,38
MN000581,38
MN246157,38
CY234762,38
MH183461,58
MK999442,58
CY234770,38
MH792466,38
MH585860,38
MN246165,38
MN000589,38
MH359814,58
MN221581,38
MN246170,38
CY258508,58
CY256517,58
CY256509,58
CY258500,58
MH601171,38
MN638427,38
MN881117,38
CY257933,38
CY250627,38
MH601179,58
MN819899,38
MT030878,38
CY259882,38
CY250619,38
MT034593,58
MT034585,58
MG978451,58
CY263255,58
MH601182,38
MT034599,58
MT034609,58
CY264179,38
MH601194,58
MT167169,58
MT167177,58
CY263247,58
MG978459,58
MT167193,58
MT167185,58
CY264203,38
MH601202,58
MH601210,38
CY264195,38
MH669907,58
MH601218,58
MH081897,38
MK364033,58
MK245926,58
MH083317,58
MK265658,58
MK364443,58
MH081905,38
MH126390,38
MK364067,58
MK556833,58
MH081916,38
MK398822,58
MK398750,58
MK556841,58
MK475534,58
MK474708,38
MK744691,38
MK744699,38
MK474668,38
MK626037,58
MK623044,38
MK744707,38
MK556846,58
MK381995,58
CY025381,37
CY026035,38
CY027411,37
