accession,cluster
J02176,1
CY021709,1
CY020285,1
CY083910,9
CY063606,9
CY062691,9
CY062699,9
CY066935,9
CY066943,9
CY066951,9
CY066959,9
CY066967,9
CY066975,9
CY067031,9
CY067039,9
CY067047,9
CY067055,9
CY176570,9
CY176578,9
CY176586,9
CY129910,9
CY129918,9
CY129926,9
CY129934,9
CY129942,9
CY056947,9
MH114050,8
KT889256,63
AB753217,8
J02090,63
CY121117,63
M55059,63
AB295605,63
AB284320,63
EF614248,63
V01085,63
GU014774,9
GQ365410,9
CY113957,63
KC781903,9
KC780620,9
KT841229,63
CY216617,63
MT244087,9
GQ894929,9
KT836052,63
CY216609,63
MH083309,9
MT244098,9
KX412670,63
MH081892,63
MK630770,9
MT244105,9
KT835907,63
KX412678,63
CY216633,63
MK772106,63
MK744672,63
MT244111,9
KT838345,63
KX412686,63
CY220911,9
MH125602,9
MK772114,63
MK744680,63
KY044102,63
KX412838,63
CY220551,63
MH126369,63
MK630778,9
MT303224,9
KT837659,63
KT841992,63
KX409707,9
CY220559,63
MH125610,9
MK676811,63
MN000552,63
MT330562,9
KT839381,63
KT842463,63
KX409715,9
CY223045,63
MH125618,9
MN000560,63
MK676819,63
MT330567,9
KT838698,63
KT839293,63
KX415704,63
CY223053,63
MH126307,63
MH246242,63
MK772909,9
MT466096,9
KT839990,63
KX003906,63
KX411299,9
CY230714,63
MH125626,9
MN000568,63
MK772119,63
MT466104,9
KT839906,63
KX411307,9
CY230722,63
MH125634,9
MN000576,63
MK772127,63
KX411859,9
CY230706,63
MH125642,9
MK772917,9
KU589370,9
KY289350,63
CY209032,63
CY239744,63
CY230698,63
MH126377,63
MH897984,63
MN246141,63
MK856511,63
KY289394,63
CY213826,63
MH897992,63
MH126385,63
MN246149,63
MK856521,63
CY230690,63
MH125650,9
MN221565,63
MK856529,63
CY210687,63
CY239736,63
CY230682,63
MH443420,9
MH125658,9
MK856537,63
MN221573,63
CY212786,63
CY230674,63
MH183453,9
MK855605,9
CY212794,63
CY228046,63
MH585852,63
MN000581,63
MN246157,63
CY234762,63
MH183461,9
MK999442,9
CY234770,63
MH792466,63
MH585860,63
MN246165,63
MN000589,63
MH359814,9
MN221581,63
MN246170,63
CY258508,9
CY256517,9
CY256509,9
CY258500,9
MH601171,63
MN638427,63
MN881117,63
CY257933,63
CY250627,63
MH601179,9
MN819899,63
MT030878,63
CY259882,63
CY250619,63
MT034593,9
MT034585,9
MG978451,9
CY263255,9
MH601182,63
MT034599,9
MT034609,9
CY264179,63
MH601194,9
MT167169,9
MT167177,9
CY263247,9
MG978459,9
MT167193,9
MT167185,9
CY264203,63
MH601202,9
MH601210,63
CY264195,63
MH669907,9
MH601218,9
MH081897,63
MK364033,9
MK245926,9
MH083317,9
MK265658,9
MK364443,9
MH081905,63
MH126390,63
MK364067,9
MK556833,9
MH081916,63
MK398822,9
MK398750,9
MK556841,9
