accession,cluster,size
CY166389,0,2
CY028639,1,8
KX979135,2,498
KY013749,3,2
KJ508997,4,180
MF173310,5,171
KT362039,6,193
MG831958,7,6
CY014674,8,2
KT022319,9,2
DQ064443,10,52
CY130057,11,7
DQ376727,12,2
MH620644,13,5
KP732664,14,2
CY046120,15,2
CY022989,16,1149
CY146669,17,8
KP416749,18,185
DQ376758,19,2
CY184595,20,2547
HM145068,21,2
GU052316,22,2
JF795047,23,3579
KT589247,24,3
KF042075,25,21
CY087819,26,6
CY032320,27,148
GU186780,28,4
KT266975,29,3
CY117472,30,2
GU052016,31,5
CY147441,32,72
KX915973,33,13713
CY136593,34,17
CY144984,35,183
CY103877,36,2
CY130440,37,156
CY140980,38,8158
CY254388,39,19606
KY550764,40,30
KT777805,41,8
KT267031,42,3
AB538487,43,4
CY029876,44,8
MK071373,45,2
CY102223,46,11
CY101393,47,82
MN814756,48,10
CY080234,49,8
MH578699,50,2
CY005674,51,9
MN418734,52,2
AB573014,53,3
CY130560,54,2983
M63756,55,2
KC859231,56,2
CY009631,57,8
AM913985,58,4
CY087779,59,3
CY240890,60,177
