accession,cluster,size
KX977708,0,380
KY063930,1,9
CY094247,2,1342
MN572225,3,18335
CY104030,4,1378
MF173282,5,172
MK287797,6,6
KC767261,7,1273
HM172167,8,1354
EU429796,9,11
MH346761,10,4
MK071366,11,9
KT370001,12,643
CY146654,13,3
CY030127,14,139
KF435059,15,10
CY184482,16,264
JX454700,17,705
KJ509014,18,225
CY203863,19,432
CY076167,20,13
CY116853,21,19
KR700289,22,842
MF682663,23,243
KJ522763,24,363
CY011058,25,1534
CY188067,26,11778
CY181079,27,1851
CY241048,28,139
CY126738,29,41
CY064083,30,727
CY076095,31,971
CY079053,32,319
CY137042,33,1005
KF259728,34,1591
CY130104,35,15
KC222574,36,17
MK393244,37,2
AB914502,38,3
AB573667,39,3
AB704801,40,2
KY364154,41,3
JN375205,42,6
CY022367,43,299
KC755690,44,779
JF833357,45,2858
KR701275,46,80
KU322865,47,2
MH346926,48,2
MN054421,49,6
LC430962,50,5
MH346557,51,69
AB600861,52,3
CY246518,53,2
CY245779,54,3
CY147408,55,8
MG962490,56,2
CY132935,57,842
HM144570,58,123
MH499134,59,6
MK424190,60,13
