accession,cluster
CY021715,32
CY020291,32
CY083916,26
CY063612,26
CY073731,26
CY062697,26
CY062705,26
CY066941,26
CY066949,26
CY066965,26
CY066973,26
CY066981,26
CY067045,26
CY067053,26
CY067061,26
CY176576,26
CY176584,26
CY176592,26
CY129916,26
CY129924,26
CY129932,26
CY129940,26
CY129948,26
CY056953,26
MH114048,22
KT888158,34
AB753215,22
CY121123,34
GU136026,26
MH283651,58
GQ365416,26
CY113963,34
KC781897,26
KT841121,34
KY044685,26
CY216615,34
MH083299,26
MT244085,26
GQ894930,26
KT835865,34
CY216607,34
MH083307,26
MT244093,26
KC781164,26
KX412668,34
CY216623,34
MH081894,34
MK630768,26
MT244103,26
KX412676,34
CY216631,34
MT244109,26
KT838337,34
KX412684,34
CY220909,26
MH125604,26
MK772111,34
MK744678,34
CY220549,34
MH126371,34
MK630776,26
MT303222,26
KT837622,34
KT841990,34
KX409705,26
CY220557,34
MH125612,26
MN000549,34
MK676809,34
KT839264,34
KT842229,34
KX409713,26
CY223043,34
MH125620,26
MN000557,34
MK676817,34
KT838738,34
KT839318,34
KT842021,34
KX415702,34
CY223051,34
MH126308,34
MH246239,34
MK772907,26
MT466094,26
KT839956,34
KX003904,34
KX411297,26
CY230712,34
MH125628,26
MK772117,34
MN000565,34
MT466102,26
KT840047,34
KX411305,26
CY230720,34
MH125636,26
MK772125,34
MN000573,34
KT840014,34
KX411857,26
CY230704,34
MH125644,26
MK772915,26
KU589368,26
KY289407,34
CY209030,34
CY239742,34
CY230696,34
MH897981,34
MH126379,34
MK856517,34
MN246138,34
KY289380,34
CY213824,34
MH126387,34
MH897989,34
MK856519,34
MN246146,34
CY210693,34
CY230688,34
MH125652,26
MN221562,34
MK856527,34
CY210685,34
CY230680,34
MH125660,26
MH443417,26
MN221570,34
MK856535,34
CY212784,34
CY230672,34
MH183451,26
MK855603,26
CY228044,34
CY212792,34
CY234752,34
MH585850,34
MN246154,34
MN000579,34
CY234760,34
MH183459,26
MK999440,26
CY234768,34
MH792463,34
MH585858,34
MN000587,34
MN246162,34
CY234744,34
MN221578,34
MN246168,34
CY256515,26
CY258506,26
MH245903,26
CY258498,26
CY256507,26
MH601170,34
MN638425,34
MN881114,34
CY257931,34
CY250625,34
MH601176,26
MN819897,34
MT030875,34
CY259880,34
CY250617,34
MT034591,26
MT034583,26
MG978448,26
CY263253,26
MH601187,34
MT034605,26
MT034607,26
CY264177,34
MH601192,26
MT167175,26
MT167167,26
CY263245,26
MG978456,26
MT167191,26
MT167183,26
CY264201,34
MH601199,26
CY264185,34
MH601205,34
CY264193,34
MH669905,26
MH601215,26
MH081900,34
MK364030,26
MK245924,26
MH083315,26
MK265656,26
MK364447,26
MH126393,34
MH081910,34
MK556830,26
MK364065,26
MH081918,34
MK398820,26
MK556838,26
MK398748,26
MK475532,26
MK474706,34
MK744688,34
MK475540,26
MK626035,26
MK623042,34
MK744704,34
MK744712,34
MK623050,34
MK556844,26
MK382277,26
CY025387,32
CY026041,34
CY027417,32
CY025865,34
CY093261,34
KC781385,26
KX406017,26
CY216055,34
MH125669,26
MN000597,34
MK744718,34
MT330574,26
KF789699,34
KF790157,34
KX005968,26
CY216063,34
CY222571,34
MH126403,34
MK630784,26
MT330582,26
KX406249,26
CY220245,34
MK630792,26
MT330590,26
CY220237,34
MH126405,34
MK676825,34
MN000605,34
KX414918,34
CY222051,34
MH183467,26
KX414910,34
CY222059,34
MH585866,34
MN000613,34
MK676833,34
KX406969,26
CY222107,26
KX407665,26
CY223163,34
CY239711,34
MK268377,34
MH585874,34
MK715704,26
KT843390,34
CY223171,34
MK744190,34
MN000621,34
KT843514,34
CY225348,34
MH245911,26
MK715712,26
KX003625,34
MH601223,26
KX003633,34
KX003641,34
KX003649,34
KX003657,34
KX003665,34
KX003672,34
KX003678,34
KX003685,34
KX003691,34
CY228811,34
CY234342,34
MH246245,34
MH897997,34
MN000629,34
MK744162,34
KX003698,34
KX003705,34
KX003713,34
KX003721,34
KX003729,34
KU590940,34
KX003753,34
KX003761,34
KX003769,34
KX918634,26
CY230736,34
MH245919,26
KX003777,34
KX003785,34
KX003793,34
KX003801,34
KX003809,34
KX003817,34
KX003825,34
KX003833,34
KT843845,34
CY235502,34
CY235494,34
MK027489,34
MH306749,34
MN246186,34
MK772141,34
KX003849,34
KX003857,34
KX003865,34
KX003873,34
KT844125,34
KT844133,34
KT844141,34
KT844149,34
KT843617,34
CY230744,34
MH305634,26
MN000635,34
MN246194,34
KY117005,34
KT844157,34
KT844165,34
KT844173,34
KT843555,34
KT844197,34
KT844213,34
KT844221,34
KT844229,34
KC883401,34
KY115788,26
MH305642,26
MN000643,34
MN246202,34
KU590477,34
KU589681,34
KU589689,34
KU590107,34
KU590115,34
KU590123,34
KU589697,34
KU589705,34
KU590130,34
KU590138,34
KU589713,34
KU590303,34
KU589972,34
KU589980,34
KU590311,34
KU589988,34
KX003881,34
KY115796,26
MH306761,34
MH898005,34
MN246210,34
MN000651,34
KU590013,34
KU590327,34
KU589996,34
KX412091,34
KX412099,34
KX412107,34
KX412115,34
KX412123,34
KX412131,34
KT843630,34
KX915602,26
CY239902,34
MK999448,26
KX412139,34
KX412147,34
KX412154,34
KX412161,34
KX412169,34
KX412177,34
KX412185,34
KX412193,34
KU589508,34
KT844337,34
CY239575,26
MH897957,34
MH358484,34
MN003520,26
KU590682,34
KU589516,34
KU591393,34
KU590337,34
KU590647,34
KU589539,34
KX917858,34
CY240085,34
MN246216,34
MN221594,34
KU589547,34
KU589554,34
KU589562,34
CY019961,32
KX412207,34
KX412215,34
KX412223,34
KX412231,34
KX412239,34
KX915994,26
MH358492,34
MN003528,26
KX412247,34
KX412255,34
KX412263,34
KX412271,34
KX003956,34
KX003964,34
KU590319,34
KX003972,34
KT844345,34
KX915986,26
CY240077,34
MN246224,34
MN221602,34
KX003980,34
KU591550,34
KX003988,34
KX003995,34
KU591558,34
KU591795,34
KX412279,34
KU591982,34
KU591990,34
KX916786,34
CY240061,34
CY242220,34
MN083368,26
KU591803,34
KU591811,34
KU591819,34
KU590760,34
KX412282,34
KU590768,34
KX412290,34
KU591827,34
KU591998,34
KU592006,34
KX916778,34
CY240069,34
MH601231,34
MN318974,34
MN084110,34
KU592014,34
KU591835,34
KU592022,34
KY116957,34
KX412298,34
KX412306,34
KU592030,34
KU592038,34
KU591843,34
KU592046,34
KU590776,34
KU591851,34
CY208926,34
KY003435,34
CY244511,34
CY242308,34
MH601239,26
MN084118,34
MN318982,34
KU592054,34
KY116949,34
KU592062,34
KU590794,34
KU592070,34
KU591859,34
KU591866,34
KU591874,34
KU592078,34
KX412315,34
KU592086,34
KT844354,34
CY208918,34
KY003433,34
CY242316,34
CY244519,34
MN083376,26
KX412322,34
KX412329,34
KX412336,34
KU590532,34
KU590540,34
KU590548,34
KU591266,34
KU591274,34
KU591282,34
KT843649,34
CY211512,34
KY116116,34
CY243517,34
MN221608,34
MN423451,34
KU591580,34
KU592118,34
KU591588,34
KX412416,34
