accession,x,y,z
J02176,0.59149164,0.54058737,0.59824985
CY021709,0.54755694,0.5051992,0.66704965
CY020285,0.5165954,0.49440163,0.69906807
CY083910,0.88110113,-0.47234413,-0.023489278
CY063606,0.8833117,-0.46788314,-0.02908167
CY062691,0.88182956,-0.47076327,-0.02753999
CY062699,0.8823231,-0.47023764,-0.01955991
CY066935,0.8799067,-0.4744052,-0.02652988
CY066943,0.8805049,-0.47328234,-0.026738275
CY066951,0.88169426,-0.47104484,-0.027054008
CY066959,0.88303655,-0.46859995,-0.025698826
CY066967,0.8838265,-0.46718884,-0.024195066
CY066975,0.88119066,-0.47224846,-0.022010576
CY067031,0.88167465,-0.4712744,-0.023457067
CY067039,0.88152003,-0.4713501,-0.027413722
CY067047,0.8822768,-0.470154,-0.023299323
CY067055,0.88294727,-0.4688059,-0.024999306
CY176570,0.88292944,-0.46859932,-0.029161924
CY176578,0.88687354,-0.46120432,-0.02731105
CY176586,0.8879395,-0.45932284,-0.024205845
CY129910,0.88053876,-0.47343525,-0.02259299
CY129918,0.8839821,-0.4669792,-0.022494089
CY129926,0.885548,-0.46408877,-0.020644657
CY129934,0.8836701,-0.46697983,-0.032513026
CY129942,0.8830348,-0.46852872,-0.027025249
CY056947,0.88399917,-0.46690348,-0.023381013
MH114050,0.3306503,0.8689162,-0.3683137
KT889256,-0.94594055,-0.31799307,0.063849755
AB753217,0.33115593,0.88842154,-0.3178724
J02090,-0.6195285,0.32862708,-0.7128735
CY121117,-0.6257145,0.30551273,-0.7177349
M55059,-0.6132874,0.34735036,-0.70938444
AB295605,-0.6211093,0.31068775,-0.7195111
AB284320,-0.62100303,0.3244146,-0.71351975
EF614248,-0.6225483,0.30445063,-0.72093236
V01085,-0.6138564,0.3413471,-0.7118024
GU014774,0.8812555,-0.4719358,-0.025795132
GQ365410,0.8812555,-0.4719358,-0.025795132
CY113957,-0.9053206,-0.053081173,-0.42139894
KC781903,0.88766396,-0.45982048,-0.024853703
KC780620,0.88910407,-0.4568424,-0.028090267
KT841229,-0.95182157,-0.30383164,0.041496508
CY216617,-0.9506666,-0.300603,0.07662134
MT244087,0.89444923,-0.4464118,-0.026021793
GQ894929,0.8856215,-0.46350408,-0.028957624
