accession,cluster
CY021714,59
CY020290,59
CY083915,38
CY063611,38
CY073730,38
CY062696,38
CY062704,38
CY066940,38
CY066948,38
CY066956,38
CY066964,38
CY066972,38
CY066980,38
CY067036,38
CY067044,38
CY067052,38
CY067060,38
CY176575,38
CY176583,38
CY176591,38
CY129915,38
CY129923,38
CY129931,38
CY129939,38
CY129947,38
CY056952,38
MH114049,14
KT888509,59
AB753216,14
CY121122,59
GU138936,38
MH283597,38
GQ365415,38
CY113962,59
KC781900,38
KT841197,59
KX005848,38
KY044686,38
CY216616,59
MH083300,38
MT244086,38
GQ200230,38
KT835869,59
KX412661,59
CY216608,59
MH083308,38
MT244097,38
KC781166,38
KX412669,59
CY216624,59
MH081893,59
MK630769,38
MT244104,38
KT835888,59
KX412677,59
CY216632,59
MK744671,59
MK772101,59
MT244110,38
KT837352,59
KX412685,59
CY220910,38
MH125603,38
MK772109,59
MK744679,59
KX412837,59
CY220550,59
MH126370,59
MK630777,38
MT303223,38
KX409706,38
CY220558,59
MN000547,59
MK676810,59
MT330561,38
KT839372,59
KT842750,59
KX409714,38
CY223044,59
MH125619,38
MN000555,59
MK676818,59
MT330566,38
KT838717,59
KT842194,59
KX415703,59
CY223052,59
MH246237,59
MK772908,38
MT466095,38
KT839790,59
KX003905,59
KX411298,38
CY230713,59
MH125627,38
MK772118,59
MN000563,59
MT466103,38
KX411306,38
CY230721,59
MH125635,38
MN000571,59
MK772126,59
KX411858,38
CY230705,59
MH125643,38
MK772916,38
KU589369,38
KY289352,59
CY209031,59
CY239743,59
CY230697,59
MH897979,59
MH126378,59
MK856510,59
MN246136,59
KY289471,59
CY213825,59
MH897987,59
MH126386,59
MN246144,59
MK856520,59
CY210694,59
CY230689,59
MH125651,38
MK856528,59
MN221560,59
CY210686,59
CY230681,59
CY239735,59
MH125659,38
MH443415,38
CY212785,59
CY230673,59
MH183452,38
MK855604,38
CY228045,59
CY212793,59
CY234753,59
MH585851,59
MN246152,59
MN000580,59
CY234761,59
MH183460,38
MK999441,38
CY234769,59
MH792461,59
MH585859,59
MN246160,59
MN000588,59
CY234745,59
MH359813,38
MN246169,59
CY258507,38
CY256516,38
MH245902,38
MN246177,59
MN221584,59
CY256508,38
CY258499,38
MH601165,59
MN638426,59
MN881112,59
CY250626,59
CY257932,59
MH601172,38
MT030873,59
MN819898,59
CY259881,59
CY250618,59
MT034592,38
MT034584,38
MG978446,38
CY263254,38
MH601185,59
MT034608,38
MT034598,38
MH601190,38
MT167176,38
MT167168,38
MG978454,38
CY263246,38
MT167192,38
MT167184,38
CY264202,59
MH601197,38
CY264186,59
MH601207,59
CY264194,59
MH669906,38
MH601213,38
MH081903,59
MK245925,38
MK364028,38
MH083316,38
MK265657,38
MK364445,38
MH081909,59
MH126395,59
MK364066,38
MK556828,38
MH081917,59
MK398821,38
MK556836,38
MK398749,38
MK475533,38
MK744686,59
MK474707,59
MK475541,38
MK474667,59
MK744694,59
MK626036,38
MK623043,59
MK744702,59
MK623051,59
MK744710,59
MK556845,38
MK382230,38
CY025386,59
CY026040,59
CY027416,59
CY025864,59
CY093262,59
KC781392,38
KX406018,38
CY216056,59
MH125668,38
MN000595,59
MK744719,59
KF789950,59
KF790087,59
CY222572,59
CY216064,59
MH126402,59
MK630785,38
MT330583,38
KX406250,38
CY220246,59
MK630793,38
MT330591,38
CY220238,59
MH126412,59
MN000603,59
MK676826,59
KX414919,59
CY222052,59
MH183468,38
KX414911,59
CY222060,59
MN000611,59
MK676834,59
CY222108,38
MH183476,38
KX407666,38
CY239712,59
CY223164,59
MH585875,59
MK268375,59
KT843429,59
CY223172,59
MK744191,59
MN000619,59
KT843411,59
CY225349,59
MH245910,38
MK715713,38
KX003626,59
KX003634,59
KX003642,59
KX003650,59
KX003658,59
KX003666,59
KX003673,59
KX003679,59
KU590799,59
KX003692,59
CY228812,59
CY234343,59
MH246246,59
MH897995,59
MK744163,59
MN000627,59
KX003699,59
KX003706,59
KX003714,59
KX003722,59
KX003730,59
KU590941,59
