accession,x,y,z
CY021712,0.55944383,0.76758087,0.31279752
CY020288,0.49281168,0.77358764,0.39837027
CY083913,-0.78690594,-0.6169233,-0.013591434
CY063609,-0.79341006,-0.6083482,-0.020324986
CY062694,-0.79378444,-0.6080693,-0.012570557
CY062702,-0.7895809,-0.61350113,-0.013359556
CY066938,-0.79643387,-0.6045283,-0.0154486
CY066946,-0.794322,-0.6073321,-0.014149823
CY066954,-0.79721487,-0.60350615,-0.015122532
CY066962,-0.79341006,-0.6083482,-0.020324988
CY066970,-0.79925066,-0.6009451,-0.00795122
CY066978,-0.7873203,-0.6164799,-0.00889813
CY067034,-0.8038052,-0.5947866,-0.0112339845
CY067042,-0.79341006,-0.6083482,-0.020324988
CY067050,-0.7895809,-0.61350113,-0.013359556
CY067058,-0.7953855,-0.60581815,-0.018612828
CY176573,-0.7974265,-0.6032088,-0.015816854
CY176581,-0.7965879,-0.6023729,-0.050938338
CY176589,-0.79533064,-0.60407156,-0.05046533
CY129913,-0.80446184,-0.5934843,-0.02484806
CY129921,-0.8079926,-0.5888303,-0.020660091
CY129929,-0.8077215,-0.58935964,-0.015534197
CY129937,-0.7974265,-0.6032088,-0.015816854
CY129945,-0.8000368,-0.599706,-0.017142395
CY056950,-0.80124754,-0.59831,-0.0052529834
MH114051,-0.1937387,0.6692647,0.7173215
KT888442,0.9683131,-0.24970844,-0.003920696
AB753218,-0.23602541,0.6923039,0.68191445
CY121120,0.9612845,0.2018252,0.18761326
GU138903,-0.7968023,-0.60414726,-0.010587046
MH283654,-0.82854146,-0.5599247,0.001832288
GQ365413,-0.7968023,-0.60414726,-0.010587046
CY113960,0.9917889,-0.08579377,0.0948383
KC781899,-0.797645,-0.6030145,-0.01165472
KT841119,0.9735618,-0.22157669,0.055507872
KX005850,-0.79319173,-0.60756326,-0.041399144
KY044688,-0.79319173,-0.60756326,-0.041399144
CY216618,0.97197145,-0.23417795,-0.020789482
MH083302,-0.794259,-0.60581714,-0.04623986
MT244088,-0.81448716,-0.5800024,-0.014414988
GQ894931,-0.79818463,-0.602332,-0.009868349
KT835746,0.96751267,-0.25139955,-0.026785579
KX412663,0.97139573,-0.23656872,-0.02063418
MH083310,-0.80044156,-0.5978016,-0.04389155
MT244094,-0.81706595,-0.57632947,-0.0157325
KC781167,-0.79232675,-0.6100932,-0.0021673152
KX412671,0.97139573,-0.23656872,-0.02063418
CY216626,0.96747935,-0.24794506,-0.050069626
MH081891,0.97112614,-0.23726876,-0.024852153
MK630771,-0.80570906,-0.5907716,-0.04268309
MT244106,-0.8114769,-0.58426344,-0.0118942745
KT835940,0.9744093,-0.21720879,0.057852
KX412679,0.97139573,-0.23656872,-0.02063418
CY216634,0.97161645,-0.23653154,0.0037743538
MK744673,0.9661605,-0.25507525,-0.03834922
MK772107,0.9661605,-0.25507525,-0.03834922
MT244112,-0.81448716,-0.5800024,-0.014414988
KT837416,0.9725142,-0.22509295,0.05957593
KX412687,0.9714139,-0.23649353,-0.02063486
CY220912,-0.7939981,-0.605637,-0.0526385
MH125601,-0.7997911,-0.5978128,-0.054351185
MK772115,0.9672182,-0.25152615,-0.034980807
MK744681,0.9672182,-0.25152615,-0.034980807
KX412839,0.97139573,-0.23656872,-0.02063418
KY044103,0.97139573,-0.23656872,-0.02063418
CY220552,0.9666158,-0.25288913,-0.0412419
MH126368,0.9672376,-0.25012487,-0.043464776
MK630779,-0.79387134,-0.6069197,-0.037639786
MT303225,-0.81448716,-0.5800024,-0.014414988
KT837654,0.9684706,-0.24899879,-0.008022287
KT842197,0.96832603,-0.2495033,-0.009634321
KX409708,-0.79443973,-0.6059107,-0.04168464
CY220560,0.9666158,-0.25288913,-0.0412419
MH125609,-0.80087566,-0.5974595,-0.04050325
MN000553,0.96712935,-0.2505454,-0.043447964
MK676812,0.96712935,-0.2505454,-0.043447964
KT839282,0.9744093,-0.21720879,0.057852
KT842232,0.9702139,-0.24154514,-0.018467417
KX409716,-0.79443973,-0.6059107,-0.04168464
CY223046,0.9667573,-0.2504409,-0.05157123
MH125617,-0.80056363,-0.5978731,-0.04056895
MN000561,0.9669573,-0.25223354,-0.037041627
MK676820,0.9669573,-0.25223354,-0.037041627
MT330568,-0.81808645,-0.574808,-0.018179324
KT839277,0.9744093,-0.21720879,0.057852
KT838704,0.9744093,-0.21720879,0.057852
KT842001,0.96759504,-0.25233588,-0.009296421
KX415705,0.974529,-0.22422013,-0.004293997
CY223054,0.96610636,-0.2534403,-0.049057577
MH126306,0.9672376,-0.25012487,-0.043464776
MH246243,0.9672376,-0.25012487,-0.043464776
MK772910,-0.8012982,-0.59576243,-0.054665193
MT466097,-0.81448716,-0.5800024,-0.014414988
KT840030,0.96702075,-0.25448915,-0.010304831
KX003907,0.9727025,-0.23153538,-0.015527628
